timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,isFailure,total
1526375128766846,7,7,4,5,1,-5,-3,2,false,130.25
1526375128766846,-3,-6,-5,-1,-4,-5,0,-3,false,124.625
1526375128775842,-2,1,1,-6,-6,3,-4,-1,false,126.25
1526375128775842,-2,-5,-3,-6,-1,3,-2,-2,false,125.75
1526375128789856,-3,-2,-3,-1,0,-5,1,-2,false,126.125
1526375128789856,-2,-3,-10,-9,1,0,-2,-2,false,124.625
1526375128796860,-2,0,0,-13,0,0,3,1,false,126.625
1526375128796860,6,2,1,23,-1,-8,-4,-1,false,130.25
1526375128812872,-5,0,12,2,-5,-11,-2,0,false,126.875
1526375128812872,-1,-2,-1,0,5,6,1,-2,false,128.75
1526375128818875,-1,-2,-5,0,1,7,0,-2,false,127.75
1526375128818875,-5,-10,-8,-11,-4,-3,7,-1,false,123.625
1526375128835888,2,6,-7,-2,-1,-2,-10,-2,false,126
1526375128835888,0,-5,-4,-3,0,-5,-13,-1,false,124.125
1526375128836882,3,1,1,-1,-7,-5,-1,-1,false,126.75
1526375128836882,0,4,6,8,0,-5,0,0,false,129.625
1526375128849895,-2,-9,-7,-5,0,1,2,-2,false,125.25
1526375128849895,0,-4,-1,0,3,1,3,-1,false,128.125
1526375128856902,-2,9,-2,0,1,-5,-4,-1,false,127.5
1526375128856902,-1,-8,-4,-8,-3,10,-2,-2,false,125.75
1526375128871910,0,-6,-5,-6,-5,-2,1,2,false,125.375
1526375128871910,-3,7,-8,-12,-1,2,4,-2,false,126.375
1526375128878915,2,1,21,14,3,0,6,2,false,134.125
1526375128878915,-2,8,9,0,-3,-8,-3,3,false,128.5
1526375128894938,0,-2,2,12,3,0,-1,-4,false,129.25
1526375128894938,-3,-6,-9,-6,1,2,-10,1,false,124.25
1526375128895921,-1,-7,-11,-6,-1,0,0,1,false,124.875
1526375128895921,-1,2,-7,-3,-2,-1,1,-1,false,126.5
1526375128910931,-1,1,10,6,-8,6,-7,0,false,128.875
1526375128910931,4,6,11,9,8,-10,5,2,false,132.375
1526375128916940,-2,4,4,-2,8,2,-1,-2,false,129.375
1526375128916940,-1,-5,-3,-5,2,4,2,1,false,127.375
1526375128931946,-4,-4,-12,-7,-6,-2,9,-5,false,124.125
1526375128931946,0,-4,-14,-18,-11,2,3,4,false,123.25
1526375128938956,3,2,14,8,-18,-6,-2,-3,false,127.75
1526375128938956,3,12,10,5,12,14,-5,-1,false,134.25
1526375128954965,-3,-5,-6,1,12,-4,-1,-1,false,127.125
1526375128954965,-2,-5,-3,-5,1,-1,-8,-2,false,124.875
1526375128955962,-2,-3,-14,4,-1,-4,2,1,false,125.875
1526375128955962,-24,-1,4,-19,-44,-7,3,-3,false,116.625
1526375128970973,29,5,2,17,50,3,-3,1,false,141
1526375128970973,2,-1,0,3,6,6,3,0,false,130.375
1526375128976980,1,-4,-8,-6,-8,-5,-16,0,false,122.25
1526375128976980,-5,-1,-2,1,-1,1,15,-3,false,128.625
1526375128991988,-11,0,-7,-22,-35,-15,-18,-13,false,112.875
1526375128991988,-7,-6,-3,-6,-9,-2,-4,12,false,124.875
1526375128998994,-19,3,5,8,1,-1,-1,-5,false,126.875
1526375128998994,22,-4,-2,4,33,7,14,1,false,137.375
1526375129015005,-2,2,2,-16,-26,-6,1,2,false,122.625
1526375129015005,-1,-7,-4,10,-4,1,8,-12,false,126.875
1526375129016002,-6,1,0,7,57,-10,-10,-2,false,132.625
1526375129016002,-6,-2,10,23,-26,14,-14,-2,false,127.625
1526375129031014,-1,-3,-7,24,68,2,3,1,false,138.875
1526375129031014,-4,0,-8,-55,-33,8,-13,-15,false,113
1526375129037020,5,7,1,3,-7,4,18,-3,false,131.5
1526375129037020,11,-2,2,-3,-4,-20,-6,18,false,127.5
1526375129052035,6,-7,-8,1,-4,3,12,8,false,129.375
1526375129052035,2,8,14,24,-15,-9,2,7,false,132.125
1526375129067035,-10,-8,-6,-7,2,4,12,-17,false,124.25
1526375129067035,-2,10,19,12,1,-7,14,1,false,134
1526375129075057,-34,-4,4,-8,-30,5,-7,-8,false,117.75
1526375129075057,35,-6,-11,-8,5,-7,-31,6,false,125.875
1526375129076045,20,7,-7,8,22,0,23,7,false,138
1526375129076045,-5,-6,-1,4,20,3,-8,-15,false,127
1526375129099056,2,-1,0,-4,-16,7,27,35,false,134.25
1526375129099056,-22,4,12,7,-7,11,13,-19,false,127.875
1526375129100057,-3,-12,-13,-10,-16,-2,-36,8,false,117.5
1526375129100057,3,0,-10,-5,46,-4,-4,-11,false,129.875
1526375129113068,-7,-1,-7,-8,15,-9,-10,-12,false,123.125
1526375129113068,6,-4,3,8,-3,3,-3,11,false,130.625
1526375129127087,3,4,16,10,-24,-10,4,3,false,128.75
1526375129127087,-3,-4,-27,-23,-13,-1,-5,-5,false,118
